ID,Name,Team,Games,Sport,Event,Medal
4,Edgar Lindenau Aabye,Denmark/Sweden,1900 Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
15,Arvo Ossian Aaltonen,Finland,1920 Summer,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
15,Arvo Ossian Aaltonen,Finland,1920 Summer,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
16,Juhamatti Tapio Aaltonen,Finland,2014 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
17,Paavo Johannes Aaltonen,Finland,1948 Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
17,Paavo Johannes Aaltonen,Finland,1948 Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
17,Paavo Johannes Aaltonen,Finland,1948 Summer,Gymnastics,Gymnastics Men's Horse Vault,Gold
17,Paavo Johannes Aaltonen,Finland,1948 Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
17,Paavo Johannes Aaltonen,Finland,1952 Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
20,Kjetil Andr Aamodt,Norway,1992 Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
20,Kjetil Andr Aamodt,Norway,1992 Winter,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
20,Kjetil Andr Aamodt,Norway,1994 Winter,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
20,Kjetil Andr Aamodt,Norway,1994 Winter,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
20,Kjetil Andr Aamodt,Norway,1994 Winter,Alpine Skiing,Alpine Skiing Men's Combined,Silver
20,Kjetil Andr Aamodt,Norway,2002 Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
20,Kjetil Andr Aamodt,Norway,2002 Winter,Alpine Skiing,Alpine Skiing Men's Combined,Gold
20,Kjetil Andr Aamodt,Norway,2006 Winter,Alpine Skiing,Alpine Skiing Men's Super G,Gold
21,Ragnhild Margrethe Aamodt,Norway,2008 Summer,Handball,Handball Women's Handball,Gold
25,Alf Lied Aanning,Norway,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
29,Willemien Aardenburg,Netherlands,1988 Summer,Hockey,Hockey Women's Hockey,Bronze
30,Pepijn Aardewijn,Netherlands,1996 Summer,Rowing,Rowing Men's Lightweight Double Sculls,Silver
37,Ann Kristin Aarnes,Norway,1996 Summer,Football,Football Women's Football,Bronze
38,Karl Jan Aas,Norway,1920 Summer,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
40,Roald Edgar Aas,Norway,1952 Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
40,Roald Edgar Aas,Norway,1960 Winter,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
42,Thomas Valentin Aas,Taifun,1912 Summer,Sailing,Sailing Mixed 8 metres,Gold
56,Ren Abadie,France,1956 Summer,Cycling,"Cycling Men's Road Race, Team",Gold
62,Giovanni Abagnale,Italy,2016 Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
63,Jos Luis Abajo Gmez,Spain,2008 Summer,Fencing,"Fencing Men's epee, Individual",Bronze
65,Patimat Abakarova,Azerbaijan,2016 Summer,Taekwondo,Taekwondo Women's Flyweight,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),Russia,2008 Summer,Athletics,Athletics Women's Javelin Throw,Silver
72,Aleksey Aleksandrovich Abalmasov,Belarus,2008 Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
73,Luc Abalo,France,2008 Summer,Handball,Handball Men's Handball,Gold
73,Luc Abalo,France,2012 Summer,Handball,Handball Men's Handball,Gold
73,Luc Abalo,France,2016 Summer,Handball,Handball Men's Handball,Silver
76,Jouan Patrice Abanda Etong,Cameroon,2000 Summer,Football,Football Men's Football,Gold
80,Jos Mara Abarca Plotas,Spain,1996 Summer,Water Polo,Water Polo Men's Water Polo,Gold
84,Stephen Anthony Abas,United States,2004 Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
85,Alejandro Abascal Garca,Spain,1980 Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
86,Jos Manuel Abascal Gmez,Spain,1984 Summer,Athletics,"Athletics Men's 1,500 metres",Bronze
90,Tamila Rashidovna Abasova,Russia,2004 Summer,Cycling,Cycling Women's Sprint,Silver
93,Jol Marc Abati,France,2008 Summer,Handball,Handball Men's Handball,Gold
99,Pter Abay,Hungary,1992 Summer,Fencing,"Fencing Men's Sabre, Team",Silver
100,Oszkr Abay-Nemes,Hungary,1936 Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
103,Silvano Abba,Italy,1936 Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
106,Agostino Abbagnale,Italy,1988 Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
106,Agostino Abbagnale,Italy,1996 Summer,Rowing,Rowing Men's Double Sculls,Gold
106,Agostino Abbagnale,Italy,2000 Summer,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,Italy,1984 Summer,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,Italy,1988 Summer,Rowing,Rowing Men's Coxed Pairs,Gold
107,Carmine Abbagnale,Italy,1992 Summer,Rowing,Rowing Men's Coxed Pairs,Silver
108,Giuseppe Abbagnale,Italy,1984 Summer,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,Italy,1988 Summer,Rowing,Rowing Men's Coxed Pairs,Gold
108,Giuseppe Abbagnale,Italy,1992 Summer,Rowing,Rowing Men's Coxed Pairs,Silver
139,"George ""Ioannis"" Abbot",Thessalonki-1,1906 Summer,Football,Football Men's Football,Bronze
143,"Desmond ""Des"" Abbott",Australia,2008 Summer,Hockey,Hockey Men's Hockey,Bronze
145,Jeremy Abbott,United States,2014 Winter,Figure Skating,Figure Skating Mixed Team,Bronze
150,Margaret Ives Abbott (-Dunne),United States,1900 Summer,Golf,Golf Women's Individual,Gold
153,Monica Cecilia Abbott,United States,2008 Summer,Softball,Softball Women's Softball,Silver
165,Nia Nicole Abdallah,United States,2004 Summer,Taekwondo,Taekwondo Women's Featherweight,Silver
250,Saeid Morad Abdevali,Iran,2016 Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
259,Reema Abdo,Canada,1984 Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
297,Lala Abdul Rashid,Pakistan,1960 Summer,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,Pakistan,1964 Summer,Hockey,Hockey Men's Hockey,Silver
316,Zagalav Abdulbekovich Abdulbekov,Soviet Union,1972 Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
337,Mukhammad Kadyr Abdullayev,Uzbekistan,2000 Summer,Boxing,Boxing Men's Light-Welterweight,Gold
339,Namiq Yadulla Abdullayev,Azerbaijan,1996 Summer,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
339,Namiq Yadulla Abdullayev,Azerbaijan,2000 Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
351,Julius Shareef Abdur-Rahim,United States,2000 Summer,Basketball,Basketball Men's Basketball,Gold
357,Yusup Abdusalomov,Tajikistan,2008 Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
359,Andrey Khakimovich Abduvaliyev,Unified Team,1992 Summer,Athletics,Athletics Men's Hammer Throw,Gold
367,Masashi Abe,Japan,1994 Winter,Nordic Combined,Nordic Combined Men's Team,Gold
379,Addis Abebe,Ethiopia,1992 Summer,Athletics,"Athletics Men's 10,000 metres",Bronze
385,"Max ""Xam"" Abegglen",Switzerland,1924 Summer,Football,Football Men's Football,Silver
391,Clarence John Abel,United States,1924 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
392,George Gordon Abel,Canada,1952 Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
394,Irene Abel,East Germany,1972 Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver
395,Jennifer Abel,Canada,2012 Summer,Diving,Diving Women's Synchronized Springboard,Bronze
399,Egil Sten Abel,Fornebo,1920 Summer,Sailing,Sailing Mixed 7 metres,Silver
401,Abelardo Fernndez Antua,Spain,1992 Summer,Football,Football Men's Football,Gold
404,"Louis Grenville ""Lou"" Abell",Vesper Boat Club,1900 Summer,Rowing,Rowing Men's Coxed Eights,Gold
404,"Louis Grenville ""Lou"" Abell",Vesper Boat Club,1904 Summer,Rowing,Rowing Men's Coxed Eights,Gold
411,Gezahgne Abera,Ethiopia,2000 Summer,Athletics,Athletics Men's Marathon,Gold
416,Nils Georg berg,Sweden,1912 Summer,Athletics,Athletics Men's Long Jump,Bronze
416,Nils Georg berg,Sweden,1912 Summer,Athletics,Athletics Men's Triple Jump,Silver
423,Michael Brent Abernathy,United States,2000 Summer,Baseball,Baseball Men's Baseball,Gold
424,Moira Abernethy (-Ford),South Africa,1956 Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
428,Elvan Abeylegesse,Turkey,2008 Summer,Athletics,"Athletics Women's 5,000 metres",Silver
443,Ismail Abilov (-Nizamolu),Bulgaria,1980 Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
454,"Edgar Allen ""Ed"" Ablowich",United States,1932 Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
455,Denis Mikhaylovich Ablyazin,Russia,2012 Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
455,Denis Mikhaylovich Ablyazin,Russia,2012 Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,Russia,2016 Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
455,Denis Mikhaylovich Ablyazin,Russia,2016 Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
455,Denis Mikhaylovich Ablyazin,Russia,2016 Summer,Gymnastics,Gymnastics Men's Rings,Bronze
460,Viktor Andreyevich Aboimov,Soviet Union,1972 Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
460,Viktor Andreyevich Aboimov,Soviet Union,1972 Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
